"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\Answers\RadioItem.js", "JavaScript", 80, 0, 0, 0, 6, 86
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\Answers\RadioItem.module.css", "CSS", 0, 33, 0, 0, 6, 39
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\Answers\TextAreaItem.js", "JavaScript", 38, 0, 0, 0, 5, 43
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\Answers\TextAreaItem.module.css", "CSS", 0, 28, 0, 0, 5, 33
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\Answers\TextItem.js", "JavaScript", 42, 0, 0, 0, 5, 47
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\Answers\TextItem.module.css", "CSS", 0, 3, 0, 0, 0, 3
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\ExamsPreviewCourses.js", "JavaScript", 72, 0, 0, 0, 6, 78
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\ExamsPreviewCourses.module.css", "CSS", 0, 66, 0, 0, 12, 78
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\ExamsPreviewExams.js", "JavaScript", 95, 0, 0, 0, 6, 101
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\ExamsPreviewExams.module.css", "CSS", 0, 84, 0, 0, 17, 101
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\ExamsPreviewSubmissionDetails.js", "JavaScript", 68, 0, 0, 0, 7, 75
"c:\Users\huber\OneDrive\Pulpit\degree\learning-system-react\src\components\Teacher\ExamsPreview\ExamsPreviewSubmissionDetails.module.css", "CSS", 0, 26, 0, 0, 5, 31
